Time,Asset,Original Direction,Final Direction,Action Taken,Trade Status,Result Amount
2026-01-03 19:53:46,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-03 20:01:12,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,WON,True
2026-01-03 20:04:38,USDARS_otc,PUT,PUT,No rule for asset USDARS_otc; using original direction.,WON,True
2026-01-03 20:30:18,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-03 20:34:16,USDARS_otc,PUT,PUT,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-03 20:36:16,USDARS_otc,PUT,PUT,No rule for asset USDARS_otc; using original direction.,WON,True
2026-01-03 20:58:22,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-03 21:00:13,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-03 21:08:51,USDARS_otc,PUT,PUT,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-03 21:14:12,USDARS_otc,PUT,PUT,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-03 21:37:07,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-03 21:48:27,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,WON,True
2026-01-03 21:58:56,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-03 22:12:45,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,WON,True
2026-01-03 22:16:06,USDARS_otc,PUT,PUT,No rule for asset USDARS_otc; using original direction.,WON,True
2026-01-03 22:26:52,USDARS_otc,PUT,PUT,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-03 22:39:53,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-03 22:41:16,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,WON,True
2026-01-03 22:42:42,USDARS_otc,PUT,PUT,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-03 22:45:21,USDARS_otc,PUT,PUT,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-03 22:50:52,USDARS_otc,PUT,PUT,No rule for asset USDARS_otc; using original direction.,WON,True
2026-01-03 22:58:22,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-03 23:03:22,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,WON,True
2026-01-03 23:25:37,USDARS_otc,PUT,PUT,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-03 23:49:03,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,WON,True
2026-01-03 23:54:27,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,WON,True
2026-01-04 00:06:16,USDARS_otc,PUT,PUT,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-04 00:18:32,USDARS_otc,PUT,PUT,No rule for asset USDARS_otc; using original direction.,WON,True
2026-01-04 00:29:41,USDARS_otc,PUT,PUT,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-04 00:31:06,USDARS_otc,PUT,PUT,No rule for asset USDARS_otc; using original direction.,WON,True
2026-01-04 00:50:30,USDARS_otc,PUT,PUT,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-04 00:54:03,USDARS_otc,PUT,PUT,No rule for asset USDARS_otc; using original direction.,WON,True
2026-01-04 01:19:57,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-04 01:28:52,USDARS_otc,PUT,PUT,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-04 01:31:43,USDARS_otc,PUT,PUT,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-04 01:38:12,USDARS_otc,PUT,PUT,No rule for asset USDARS_otc; using original direction.,WON,True
2026-01-04 01:46:35,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,WON,True
2026-01-04 01:56:51,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,WON,True
2026-01-04 02:11:51,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,WON,True
2026-01-04 02:18:40,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,WON,True
2026-01-04 02:24:05,USDARS_otc,PUT,PUT,No rule for asset USDARS_otc; using original direction.,WON,True
2026-01-04 02:30:07,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,WON,True
2026-01-04 02:56:03,USDARS_otc,PUT,PUT,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-04 03:00:12,USDARS_otc,PUT,PUT,No rule for asset USDARS_otc; using original direction.,WON,True
